id,task,downloads,likes,tags,description
eenzeenee/t5-base-korean-summarization,summarization,3361,34,"transformers, pytorch, safetensors, t5, text2text-generation, T5, summarization, ko",This is [T5](https://huggingface.co/docs/transformers/model_doc/t5) model for korean text summarization.
cross-encoder/ms-marco-TinyBERT-L2,text-ranking,30503,21,"sentence-transformers, pytorch, jax, onnx, safetensors, openvino, bert, text-classification",This model was trained on the [MS Marco Passage Ranking](https://github.com/microsoft/MSMARCO-Passage-Ranking) task.
omarques/autotrain-in-class-test-demo-1659958764,tabular-classification,5,0,"transformers, joblib, autotrain, tabular, classification, tabular-classification, dataset:omarques/autotrain-data-in-class-test-demo, co2_eq_emissions",- Problem type: Binary Classification
OmniGen2/OmniGen2,any-to-any,31817,430,"diffusers, safetensors, any-to-any, arxiv:2506.18871, arxiv:2404.07724, license:apache-2.0, diffusers:OmniGen2Pipeline, region:us",- **2025-07-05**: Training datasets [X2I2](https://huggingface.co/datasets/OmniGen2/X2I2) are available.
ryukkt62/Suncast,tabular-regression,46,17,"sklearn, solar-energy, photovoltaic, forecasting, random-forest, pycaret, gfs, nasa-power","A machine learning model that predicts **hourly solar PV power generation (kWh)** for any location across mainland China, given latitude, longitude, and a date range."
facebook/dinov3-vits16plus-pretrain-lvd1689m,image-feature-extraction,28512,15,"transformers, safetensors, dinov3_vit, image-feature-extraction, dino, dinov3, arxiv:2508.10104, en",
am-infoweb/layoutlmv3-finetuned_docvqa,document-question-answering,28,3,"transformers, pytorch, safetensors, layoutlmv3, document-question-answering, generated_from_trainer, base_model:microsoft/layoutlmv3-base, base_model:finetune:microsoft/layoutlmv3-base","should probably proofread and complete it, then remove this comment. -->"
facebook/timesformer-hr-finetuned-k400,video-classification,205,3,"transformers, pytorch, timesformer, video-classification, vision, arxiv:2102.05095, license:cc-by-nc-4.0, endpoints_compatible",TimeSformer model pre-trained on [Kinetics-400](https://www.deepmind.com/open-source/kinetics). It was introduced in the paper [TimeSformer: Is Space-Time Attention All You Need for Video Understandin
cardiffnlp/twitter-xlm-roberta-base-sentiment,text-classification,963547,256,"transformers, pytorch, tf, xlm-roberta, text-classification, multilingual, arxiv:2104.12250, endpoints_compatible","This is a multilingual XLM-roBERTa-base model trained on ~198M tweets and finetuned for sentiment analysis. The sentiment fine-tuning was done on 8 languages (Ar, En, Fr, De, Hi, It, Sp, Pt) but it ca"
xingyang1/Distill-Any-Depth-Small-hf,depth-estimation,964,7,"transformers, safetensors, depth_anything, depth-estimation, distill-any-depth, vision, arxiv:2502.19204, license:mit","We present Distill-Any-Depth, a new SOTA monocular depth estimation model trained with our proposed knowledge distillation algorithms. It was introduced in the paper [Distill Any Depth: Distillation C"
